procedure_concept_id,procedure_concept_name,n
NA,NA,8837
4015701,Cesarean section,1853
46270921,Robot assisted laparoscopic radical prostatectomy,1057
4167089,Emergency cesarean section,1013
4278515,Biopsy of prostate,1007
4180836,Physical examination under general anesthesia,963
4203771,Total replacement of hip,882
4032621,Evacuation of retained product of conception,701
4075161,Elective lower segment cesarean section,560
43531648,Total knee replacement,489
4075182,Elective cesarean section,435
4314251,Laparotomy,400
4188466,Ventriculoperitoneal shunt,341
4116797,Rigid cystoscopy,335
4071354,Open reduction of fracture with internal fixation,329
40490927,Craniotomy and excision of neoplasm of brain,325
4163971,Laparoscopic cholecystectomy,313
4243973,Laparoscopic appendectomy,296
4031174,Injection of hip joint,282
4301429,Ureteroscopy,281
40490346,Transrectal high intensity focused ultrasound ablation of prostate,271
4127252,Emergency lower segment cesarean section,268
4142388,Transperineal needle biopsy of prostate,259
4218438,Circumcision,252
44806780,Rigid cystoscopy and intravesical botulinum toxin injection into detrusor muscle,252
4093774,Mid forceps delivery with episiotomy,249
4068676,Microlaryngoscopy,247
4343805,Removal of metalwork from bone,238
4108316,Incision and drainage of abscess,237
44809596,Endoscopic transsphenoidal removal of pituitary lesion,221
4166080,Decompression of median nerve,209
4116796,Flexible cystoscopy,203
4243752,Revision of intracranial neurostimulator receiver,186
4343012,Cystoscopic replacement of ureteric stent,154
44790210,Testicular sperm extraction,144
4235713,Medication administration: intrathecal,142
44808892,"Laryngoscopy, pharyngoscopy and oesophagoscopy",139
4052532,Hysteroscopy,138
4071391,Wide excision of muscle tissue,138
4067244,Septorhinoplasty using graft,137
4101113,Intra-articular injection,137
4146171,Hysteroscopy and endometrial biopsy,137
46270930,Robot assisted laparoscopic radical cystectomy,137
4023102,Cystoscopic insertion of ureteric stent,134
4132292,Implantation of inflatable penile prosthesis,134
4219311,Implantation of sacral nerve stimulator,131
4070719,Tonsillectomy,129
40492299,Hysteroscopic excision of polyp of uterus,127
4019096,Total abdominal hysterectomy with bilateral salpingo-oophorectomy,126
4143852,Laparoscopic sleeve gastrectomy,126
4045610,Introduction of intracranial pressure measuring device,125
4069969,Manual removal of placenta from delivered uterus,125
4073199,Total thyroidectomy,125
4151772,FESS - Functional endoscopic sinus surgery - posterior ethmoidectomy,124
4079651,Cemented unicompartmental knee replacement,122
44808635,Endoscopic ultrasonography guided core needle biopsy of mediastinal lymph node,121
4069608,Microtherapeutic endoscopic extirpation of lesion of larynx using laser,120
4130185,Laparoscopic total hysterectomy,118
4294382,Esophagogastroduodenoscopy,118
40488881,Trephination of cranium and drainage of hematoma from subdural space,118
4048639,Sleep nasendoscopy,114
44806768,Flexible ureteroscopy,114
46270974,Laparoscopic bypass of stomach,114
4211374,Incision AND drainage,113
4298166,Removal of calculus of renal pelvis through percutaneous nephrostomy,111
42538237,Excision of right lobe of thyroid gland,110
43531512,Laparoscopic bilateral salpingo-oophorectomy,109
42538236,Excision of left lobe of thyroid gland,108
4201395,Decompression of lumbar spine,106
4129190,Wide local excision of breast lesion,105
4263638,"Tympanoplasty, type I with graft",105
4287484,Bronchoscopy and bronchoalveolar lavage,105
4138870,Total prosthetic replacement of knee joint using cement,102
4251314,Laparoscopy,102
4074288,Large loop excision of transformation zone,99
4030087,Nasal septoplasty,97
4075735,Low forceps delivery with episiotomy,96
4187257,Closure of ileostomy,95
4343128,Revision of penile prosthesis,95
4300860,Excision of lesion of lung,92
4073126,Cryotherapy to prostate via perineal probe,90
4181291,Transcervical resection of leiomyoma,89
44809642,Laparoscopic right hemicolectomy,88
4071267,Examination of oral cavity under general anesthesia,86
4045461,External drainage procedure from ventricle of brain,82
4045859,Biopsy of brain tissue,82
40490517,Endovenous radiofrequency obliteration of varicose vein of lower limb,80
4120657,Interventional debulking surgery,79
4200418,Parathyroidectomy,79
4305077,Transurethral resection of neoplasm of bladder,79
37017399,Periacetabular osteotomy of pelvic bone,78
44806781,Flexible cystoscopy and intravesical botulinum toxin injection into detrusor muscle,78
4118958,Lobectomy of thyroid gland,77
4288878,Arthroscopy of hip,77
4321372,Cochlear device implantation with mastoidectomy,77
4334399,Combined approach tympanoplasty,77
44806769,Rigid ureteroscopy,76
40489812,Cystoscopy and biopsy of bladder using panendoscope,75
4292075,Arthroscopically aided anterior cruciate ligament reconstruction,71
4072719,Hysteroscopy and biopsy of lesion of uterus,70
40493287,Insertion of implantable intrathecal access system,69
44807929,Laparoscopic high anterior resection of rectum,69
4070592,Surgical removal of impacted third molar tooth,68
4072191,Nesbit's operation on penis,68
4107080,Excision of bilateral fallopian tubes and ovaries,68
40483531,Revision of ventriculoperitoneal shunt,68
4209298,"Bone marrow biopsy, needle or trocar",67
4201639,Laparoscopic salpingectomy,64
4205229,Arthroscopy of knee,64
4212941,Aspiration curettage of uterus for termination of pregnancy,64
46270884,Robot assisted laparoscopic total hysterectomy,64
4000882,Lung excision,63
4065315,Excision of lesion of pituitary gland,63
4075594,Primary anterior decompression of cervical spinal cord and fusion,62
4142969,Open myomectomy,60
4167074,Osteotomy for hallux valgus,60
4233386,Arthrocentesis,60
4127944,Lumbar microdiscectomy,59
4075734,Primary decompression of lumbar spine,58
44806835,Open reduction and internal fixation of fractured mandible,57
4101626,Craniotomy,55
4180139,Mastectomy of right breast,55
4293030,Injection of joint of foot,55
40481495,Total replacement of right hip joint,55
43531100,Open repair of inguinal hernia,55
4046923,Biopsy of brain tissue tumor,54
44790257,Functional endoscopic nasal surgery,52
4054047,Lobectomy,51
4153221,Removal of calculus of urinary bladder,51
4263386,Sentinel lymph node biopsy,51
4010246,Open reduction of fracture of radius with internal fixation,50
4122777,Selective neck dissection of cervical lymph nodes,50
4146407,Primary posterior decompression lumbar spine,50
4048431,Rhinoseptoplasty,49
4124736,Incision and drainage of pilonidal abscess,49
4236762,"Arthroplasty of knee, condyle and plateau, medial compartment",49
4300496,Exploration of scrotum,49
4152054,"Functional endoscopic sinus surgery, total",48
4193061,Endoscopic resection of prostate using an electrotome,48
4021434,Cystoscopic removal of ureteric stent,47
4066786,Therapeutic epidural injection,47
4070880,Excision of segment of lung,47
4176608,Mastectomy of left breast,47
4231432,Intramedullary nailing of femur,47
4287693,Partial glossectomy,47
40491384,Biopsy of sural nerve,47
4008569,Partial parotidectomy,46
4146155,Laser destruction of lesion of external nose,45
4234978,Cerclage of cervix during pregnancy by vaginal approach,45
36717082,Uniportal VATS - video assisted thoracoscopic surgery,45
42538257,Closure of skin wound,45
4073994,Implantation of semi-rigid penile prosthesis,44
4142995,Repair of fracture of penis,44
4168079,Manipulation under anesthesia,44
4174527,"Tooth extraction, multiple",44
4198143,Dissection and excision of bilateral tonsils,43
4270068,Laparoscopic treatment of ectopic pregnancy with salpingectomy,43
46272913,Robotic assisted surgery,43
4074077,Hemorrhoidectomy,42
4076768,Irrigation of wound,41
4305074,Ureterorenoscopy,41
40482788,Total replacement of right knee joint,41
44807930,Laparoscopic low anterior resection of rectum,41
4079528,Revision cemented total knee replacement,40
4193388,Change of cystostomy tube,40
37017002,Laparoscopic excision of pelvic endometriosis,40
4045469,Clipping of intracranial aneurysm,39
4066062,Myringotomy and insertion of short-term tympanic ventilation tube,39
4075360,Surgical debridement of wound,39
4213044,Cold knife cone biopsy of cervix,39
44809897,Revision septorhinoplasty,39
4119888,Peripheral nerve surgical biopsy,38
4163766,Repair of obstetric laceration,38
4172218,Superficial parotidectomy,38
4187533,Esophagectomy,38
4198190,Appendectomy,38
4208748,Open reduction of trimalleolar fracture of ankle with internal fixation,38
4289432,Stapedectomy,38
40489862,Excision of meningioma by supratentorial approach,38
4035778,High forceps delivery with episiotomy,37
4185403,Hysteroscopy with lysis of intrauterine adhesions,37
4042179,Evacuation of hematoma,36
4128041,Repair of vaginal tear,36
4311933,Debridement of wound of skin,36
4017461,Laparoscopic emergency appendectomy,35
4027561,Surgical extraction,35
4075290,Biopsy of muscle,35
4076034,Primary lumbar discectomy,35
37111479,Lobectomy of upper lobe of right lung,35
42537334,Insertion of JJ stent into ureter,35
44792138,Arthroscopic decompression of subacromial joint,35
4195444,Excision of lesion on penis,34
4234743,Implantation of cochlear prosthetic device,34
4285891,Trephination of cranium,34
4072058,Biopsy of penis,33
4174035,Subtotal gastrectomy,33
4253523,Exploratory laparotomy,33
4346393,Release of trigger finger,33
40482787,Total replacement of left knee joint,33
42537585,Open repair of incisional hernia,33
44783078,Arthroscopic repair of rotator cuff,33
4130310,McDonald cervical cerclage,32
4138603,Digital fasciectomy,32
4218755,Revision of cerebral ventricular shunt,32
4021431,Ureteroscopic laser fragmentation of ureteric calculus,31
4030842,Intercostal drain removal,31
4070373,Total gastrectomy and anastomosis of esophagus to transposed jejunum,31
4167080,Excision of lipoma,31
4208093,"Tracheostomy, emergency procedure by transtracheal approach",31
4250892,Emergency operation,31
40488352,Posterior fossa craniotomy,31
40490002,Arthroscopy of temporomandibular joint,31
4034299,Prosthetic unicompartmental arthroplasty of knee,30
4066543,Simple mastectomy,30
4073393,Opening of chest,30
4216997,Amputation of penis,30
4268569,Functional endoscopic sinus surgery - polypectomy of nasal sinus,30
4279903,Excision,30
4310053,Reconstruction of anterior cruciate ligament using hamstring graft,30
4078310,Ileocolic resection,29
4191932,Re-excision of breast for clearance of tumor margins,29
4337610,Excision of bulla of lung,29
40482949,Insertion of vagal nerve stimulator,29
40489840,Craniotomy and evacuation of blood clot,29
44809645,Laparoscopic extended right hemicolectomy,29
4042907,"Hartmann operation, rectal resection",28
4079273,Arthroscopic washout of knee joint,28
4166281,Anterior tracheostomy,28
4071494,Block dissection of inguinal lymph nodes,27
4138816,Cranioplasty,27
4144525,Injection of joint of ankle,27
4187945,Apicectomy lung,27
